File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_33rep_2_BlockerPercent_60_24-08-19-20-32-30/step-00700.pickle,1618,2374,9475,7355,4478,20821,5685
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_34rep_2_BlockerPercent_65_24-08-19-20-46-21/step-00700.pickle,933,2474,7128,8142,1548,26845,4235
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_35rep_2_BlockerPercent_70_24-08-19-21-00-07/step-00700.pickle,854,2175,4482,7374,1594,29371,5112
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_36rep_2_BlockerPercent_75_24-08-19-21-13-45/step-00700.pickle,501,1924,6378,5963,844,30101,4142
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_37rep_2_BlockerPercent_80_24-08-19-21-27-30/step-00700.pickle,329,1579,2011,1610,451,39254,4423
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-08-19-21-41-03/step-00700.pickle,199,1274,4282,2744,304,38087,2331
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-08-19-22-34-33/step-00700.pickle,102,1038,2982,2485,166,40534,1648
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-08-19-13-22-25/step-00700.pickle,6262,945,20128,7106,13752,4735,2012
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-08-19-22-48-04/step-00700.pickle,19,475,764,281,20,46159,689
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-08-19-23-01-17/step-00700.pickle,7376,0,24391,5850,17395,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-08-19-23-15-42/step-00700.pickle,6784,317,22989,11344,12522,840,468
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-08-19-23-29-51/step-00700.pickle,6256,938,23686,8381,10773,2667,2219
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-08-19-23-44-08/step-00700.pickle,5819,1394,14875,14704,9025,6896,2607
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-08-19-23-58-07/step-00700.pickle,4986,1703,16111,8885,10203,7172,5759
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-08-20-00-12-07/step-00700.pickle,5050,1910,19870,9486,9703,4553,4476
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-08-20-00-26-10/step-00700.pickle,3711,2396,20427,4265,6506,11185,5117
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-08-20-00-40-15/step-00700.pickle,3900,2370,13891,12801,8056,8349,4960
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-08-20-00-54-11/step-00700.pickle,3356,2584,10467,11754,5116,14463,6467
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-08-19-13-37-03/step-00700.pickle,5981,1220,23424,8148,11428,2355,2673
