File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-07-02-15-37-53/step-00700.pickle,37,3220,1524,192,42874
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-07-01-15-51-17/step-00700.pickle,1162,18404,6599,17314,5582
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-07-02-15-51-13/step-00700.pickle,8,223,2682,31,44772
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-07-02-16-04-28/step-00700.pickle,1318,20580,6381,21290,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-07-02-16-32-38/step-00700.pickle,1200,24798,6038,14399,2521
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-07-02-21-53-18/step-00700.pickle,1134,17371,9156,15098,6107
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-07-02-22-23-15/step-00700.pickle,1096,19919,6212,14076,7562
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-07-02-22-36-59/step-00700.pickle,997,20110,3855,13885,10157
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-07-02-22-50-43/step-00700.pickle,888,18513,6934,13371,9162
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-07-03-00-50-48/step-00700.pickle,815,16083,6272,11700,13625
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-07-03-01-55-53/step-00700.pickle,768,14514,5012,10620,17986
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-07-03-03-53-04/step-00700.pickle,686,13489,4019,8291,22280
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-07-01-16-45-58/step-00700.pickle,1027,18992,3502,15845,9947
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-07-03-04-53-02/step-00700.pickle,639,14140,3343,11496,18634
