File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_34rep_2_BlockerPercent_65_24-08-21-01-02-23/step-00700.pickle,11,67,7931,6317,17,32862,961
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_35rep_2_BlockerPercent_70_24-08-21-01-15-43/step-00700.pickle,8,39,3300,5794,12,38888,85
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_36rep_2_BlockerPercent_75_24-08-21-01-29-01/step-00700.pickle,8,61,8714,2538,364,35823,232
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_37rep_2_BlockerPercent_80_24-08-21-01-42-31/step-00700.pickle,1,43,5799,4667,28,37697,156
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-08-21-01-55-50/step-00700.pickle,4,38,2619,3267,5,41738,97
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-08-21-02-09-03/step-00700.pickle,0,19,1846,1496,0,44690,52
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-08-20-13-50-25/step-00700.pickle,103,31,22957,18963,317,5514,85
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-08-21-02-22-17/step-00700.pickle,0,9,1369,501,0,45536,528
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-08-21-02-35-30/step-00700.pickle,135,0,25318,22368,418,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-08-21-02-49-20/step-00700.pickle,126,11,20881,23327,493,3460,27
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-08-21-03-03-05/step-00700.pickle,126,19,18495,24137,1713,3150,30
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-08-21-03-16-55/step-00700.pickle,94,34,15134,22311,1307,9229,119
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-08-21-03-30-35/step-00700.pickle,95,27,18023,19774,284,9418,327
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-08-21-03-44-22/step-00700.pickle,82,53,18632,18729,155,9966,810
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-08-21-03-58-05/step-00700.pickle,48,72,21122,12333,120,14223,140
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-08-21-04-11-52/step-00700.pickle,59,56,15556,16207,978,14718,304
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-08-21-04-25-34/step-00700.pickle,46,70,17732,8380,1800,19591,543
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-08-20-14-04-14/step-00700.pickle,87,35,20897,20551,847,5840,182
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-08-21-04-39-16/step-00700.pickle,33,66,12812,9172,67,25712,151
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-08-21-04-52-53/step-00700.pickle,28,56,9320,11238,236,25807,1336
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-08-21-05-06-20/step-00700.pickle,34,74,8715,12241,84,26024,623
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-08-21-05-19-52/step-00700.pickle,23,63,7461,13445,396,26717,173
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-08-21-05-33-15/step-00700.pickle,16,47,6964,9358,56,31075,123
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-08-21-05-46-41/step-00700.pickle,13,53,5902,5283,61,36211,149
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-08-21-06-00-03/step-00700.pickle,6,50,3987,6072,26,36662,1150
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-08-21-06-13-20/step-00700.pickle,12,45,2580,5198,19,39875,118
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-08-21-06-26-38/step-00700.pickle,0,28,1113,4710,0,41856,54
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-08-21-06-39-57/step-00700.pickle,1,21,3320,757,2,43579,41
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-08-20-14-18-00/step-00700.pickle,87,33,18296,25031,543,4214,133
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-08-21-06-53-16/step-00700.pickle,0,9,826,2965,0,44288,59
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-08-21-07-06-27/step-00700.pickle,134,0,20903,26424,793,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-08-21-07-20-18/step-00700.pickle,117,10,25002,18052,1459,3373,19
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-08-21-07-34-13/step-00700.pickle,109,27,25350,16817,620,4743,283
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-08-21-07-48-06/step-00700.pickle,75,39,23763,19340,342,4236,486
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-08-21-08-01-55/step-00700.pickle,71,50,14681,21585,512,10874,164
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-08-21-08-15-37/step-00700.pickle,73,48,17959,17303,587,11659,283
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-21-08-29-26/step-00700.pickle,57,61,17862,13613,256,15924,369
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-21-08-43-10/step-00700.pickle,67,79,13384,17611,532,15994,426
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-21-08-56-45/step-00700.pickle,60,72,15574,14744,752,15409,1705
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-08-20-14-31-42/step-00700.pickle,93,60,15454,15652,306,15908,127
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-21-09-10-21/step-00700.pickle,43,85,13674,11527,89,21432,1269
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-21-09-23-59/step-00700.pickle,28,56,11662,14105,143,21819,300
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-21-09-37-30/step-00700.pickle,28,81,12538,5947,70,27926,1622
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-21-09-51-03/step-00700.pickle,18,66,7696,11259,81,28016,809
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-21-10-04-30/step-00700.pickle,13,66,7571,6141,26,33934,287
