File Path,Recipient TransferEvents,Blocker TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-08-13-22-44-51/step-00700.pickle,46,542,2407,2458,149,38445,4665
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-08-13-23-42-09/step-00700.pickle,24,399,1116,2193,69,41314,3638
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-08-12-17-09-15/step-00700.pickle,1256,320,26092,6532,9410,2847,2974
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-08-14-00-42-01/step-00700.pickle,4,186,434,2031,11,43805,1475
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-08-14-02-00-12/step-00700.pickle,1545,0,23435,12394,12093,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-08-14-03-28-51/step-00700.pickle,1366,131,20288,12061,11851,588,3244
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-08-14-04-35-52/step-00700.pickle,1304,255,26527,5783,8828,2987,3558
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-08-14-04-49-43/step-00700.pickle,1124,386,16275,12833,12289,4564,1802
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-08-14-05-19-08/step-00700.pickle,1045,458,18689,9622,10151,4447,5029
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-08-14-05-33-18/step-00700.pickle,945,665,17497,10717,7201,7826,4848
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-08-14-05-47-22/step-00700.pickle,865,695,19804,9878,6840,6835,4612
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-08-14-06-01-32/step-00700.pickle,676,829,13723,9642,4644,9267,10382
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-08-14-06-15-39/step-00700.pickle,661,776,12039,13111,7519,10372,4956
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-08-12-17-23-28/step-00700.pickle,1020,384,21286,8468,9083,4727,4268
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-08-14-06-29-42/step-00700.pickle,557,894,10616,8973,5870,15788,6258
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-08-14-06-43-46/step-00700.pickle,478,850,14237,8637,3849,14135,6872
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-08-14-06-57-53/step-00700.pickle,347,1065,19295,4786,1735,13890,8031
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-08-14-07-12-05/step-00700.pickle,325,858,7531,9731,1937,23753,5508
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-08-14-07-25-57/step-00700.pickle,217,878,5265,3964,1138,28438,8890
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-08-14-07-39-51/step-00700.pickle,201,819,8284,6252,780,25944,6568
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-08-14-07-53-49/step-00700.pickle,127,746,5400,2960,615,31820,7251
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-08-14-08-07-41/step-00700.pickle,92,679,3574,1637,506,36758,5313
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-08-14-08-21-26/step-00700.pickle,49,520,2127,3121,154,40338,2402
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-08-14-09-07-00/step-00700.pickle,17,387,1604,1098,38,40948,4279
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-08-12-19-10-17/step-00700.pickle,1050,534,20759,9447,9209,3439,5120
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-08-14-09-20-22/step-00700.pickle,5,209,2236,851,15,43742,870
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-08-14-09-33-39/step-00700.pickle,1546,0,20705,9758,17418,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-08-14-10-49-11/step-00700.pickle,1401,149,24898,9365,11217,431,1827
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-08-14-11-21-57/step-00700.pickle,1249,265,19188,12794,9624,1962,4607
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-08-14-11-35-42/step-00700.pickle,1111,433,21540,4845,12511,5520,3742
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-08-14-11-59-12/step-00700.pickle,1047,554,18976,9665,8610,6455,4350
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-08-14-12-34-28/step-00700.pickle,960,654,21162,9322,4564,5931,7156
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-14-12-48-56/step-00700.pickle,864,668,15470,12302,7564,8618,4152
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-14-13-03-18/step-00700.pickle,751,844,16970,6403,7426,9841,7227
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-14-13-17-49/step-00700.pickle,641,852,13398,7280,5713,11223,10263
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-08-12-20-01-44/step-00700.pickle,965,571,16956,9016,10066,7959,4123
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-14-13-32-14/step-00700.pickle,543,992,13237,6718,4330,15342,8583
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-14-13-46-39/step-00700.pickle,441,947,14744,5947,6157,14071,7100
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-14-14-02-11/step-00700.pickle,352,924,8175,5709,5138,20570,8429
