File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_34rep_2_BlockerPercent_65_24-08-18-06-22-10/step-00700.pickle,468,8198,5647,3102,31001,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_35rep_2_BlockerPercent_70_24-08-18-06-36-05/step-00700.pickle,321,9909,4046,4144,29576,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_36rep_2_BlockerPercent_75_24-08-18-06-50-02/step-00700.pickle,268,8072,4096,1298,34104,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_37rep_2_BlockerPercent_80_24-08-18-07-03-56/step-00700.pickle,161,4383,3658,904,39247,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-08-18-07-17-41/step-00700.pickle,128,2932,3832,397,40685,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-08-18-07-31-28/step-00700.pickle,40,856,2340,78,44365,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-08-17-23-00-58/step-00700.pickle,2464,25275,5247,14169,3105,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-08-18-07-45-13/step-00700.pickle,3,334,1478,8,46397,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-08-18-07-58-52/step-00700.pickle,2533,19276,3707,24381,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-08-18-08-13-47/step-00700.pickle,2571,22790,4198,16442,4673,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-08-18-08-28-32/step-00700.pickle,2126,27393,1609,16643,1850,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-08-18-08-43-27/step-00700.pickle,1836,21639,1672,14806,9708,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-08-18-15-47-30/step-00700.pickle,1858,19239,4665,14563,9879,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-08-18-16-02-06/step-00700.pickle,1768,19471,2954,13658,11917,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-08-18-16-16-26/step-00700.pickle,1489,21298,2593,14014,10008,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-08-18-16-30-54/step-00700.pickle,1278,16058,5392,9687,16786,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-08-18-16-45-09/step-00700.pickle,1255,10511,6754,8811,22002,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-08-17-23-15-25/step-00700.pickle,1996,24775,2139,13938,7304,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-08-18-16-59-25/step-00700.pickle,1121,14228,7284,9872,16263,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-08-18-17-13-54/step-00700.pickle,736,12245,3320,5670,26799,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-08-18-17-28-07/step-00700.pickle,703,7759,4241,4108,31879,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-08-18-17-42-12/step-00700.pickle,769,12190,6052,3766,25625,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-08-18-17-56-27/step-00700.pickle,382,10804,6349,2509,28670,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-08-18-18-10-27/step-00700.pickle,465,10149,5742,4059,28148,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-08-18-18-24-25/step-00700.pickle,257,4884,5637,2502,34453,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-08-18-18-38-15/step-00700.pickle,111,3144,3492,332,41107,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-08-18-18-51-49/step-00700.pickle,51,3361,1915,102,42627,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-08-18-19-05-24/step-00700.pickle,26,1143,1429,56,45487,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-08-17-23-29-52/step-00700.pickle,1806,21690,3013,15001,7980,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-08-18-19-18-54/step-00700.pickle,3,260,2856,5,44767,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-08-18-19-32-18/step-00700.pickle,2673,25293,2914,19658,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-08-18-19-46-51/step-00700.pickle,2158,28589,1574,13854,3934,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-08-18-20-01-20/step-00700.pickle,2123,20743,2289,19919,4769,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-08-18-20-15-48/step-00700.pickle,2005,17808,4938,16584,8581,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-08-18-20-30-09/step-00700.pickle,2295,16820,6576,15597,8588,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-08-18-20-44-27/step-00700.pickle,1677,20942,3246,13653,10016,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-18-20-58-43/step-00700.pickle,1632,11214,8973,16855,10784,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-18-21-12-54/step-00700.pickle,1239,17418,5137,9082,16243,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-18-22-22-55/step-00700.pickle,1258,14446,3252,11353,18972,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-08-17-23-44-21/step-00700.pickle,1978,19381,4871,13225,10704,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-18-22-38-55/step-00700.pickle,1070,12708,7614,7969,19764,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-18-22-53-26/step-00700.pickle,1030,13238,6874,7597,20253,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-18-23-07-12/step-00700.pickle,824,13604,4458,7714,22238,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-18-23-20-54/step-00700.pickle,544,13313,5071,3730,25720,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-18-23-34-35/step-00700.pickle,370,9288,3497,3065,31956,0
