File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_33rep_2_BlockerPercent_60_24-08-16-01-42-12/step-00700.pickle,742,8193,189,5707,33680,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_34rep_2_BlockerPercent_65_24-08-16-01-55-42/step-00700.pickle,801,8039,1071,4929,33737,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_35rep_2_BlockerPercent_70_24-08-16-02-09-01/step-00700.pickle,573,11279,1828,2800,31990,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_36rep_2_BlockerPercent_75_24-08-16-02-22-29/step-00700.pickle,461,8003,2223,3877,33824,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_37rep_2_BlockerPercent_80_24-08-16-02-35-56/step-00700.pickle,307,4395,1821,2514,39173,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-08-16-02-49-16/step-00700.pickle,346,4076,2327,1800,39612,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-08-16-03-02-29/step-00700.pickle,305,1047,2097,2095,42728,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-08-15-18-49-28/step-00700.pickle,1154,18740,0,25911,2967,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-08-16-03-15-41/step-00700.pickle,11,585,321,472,46719,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-08-16-23-52-30/step-00700.pickle,1174,23161,0,24718,0,0
