File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-06-22-07-52-18/step-00700.pickle,67,1612,3874,1180,41151
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-06-22-08-05-32/step-00700.pickle,34,793,3094,682,43484
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-06-21-23-55-06/step-00700.pickle,1175,26130,3986,11547,6159
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-06-22-08-18-43/step-00700.pickle,11,3070,1319,33,43546
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-06-22-08-31-58/step-00700.pickle,1290,23209,4190,20614,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-06-22-08-45-51/step-00700.pickle,1205,21103,3930,22421,563
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-06-22-09-06-08/step-00700.pickle,1173,22039,6371,15551,4135
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-06-22-09-21-39/step-00700.pickle,1067,19352,4105,17031,7602
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-06-22-09-37-44/step-00700.pickle,1024,20135,7790,11432,8729
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-06-22-09-53-09/step-00700.pickle,960,16982,5312,10094,15504
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-06-22-10-07-14/step-00700.pickle,861,19045,3557,10700,14495
